MC_Stationary,TD_Stationary,MC_Shift,TD_Shift
-228.7779507984132,-190.1982176463909,-168.51738011469894,-104.05615839431564
-160.61342443699036,-276.555156173892,-206.90969121691057,-125.22280830132715
-234.69044278960297,-229.5307366449573,-134.7533651399125,-118.27177620666055
-140.36843330348412,-225.58256220579094,-139.69057537571163,-246.81245113882753
-193.0374705103831,-179.99425511369216,-174.880590216381,-160.72465071732904
-281.3858372778809,-105.08000854229337,-80.99595798903673,-106.6028666071335
-160.22126334356776,-167.47471944489746,-119.80332626173421,-62.502329183040644
-186.9138897935681,-153.5092802222299,-193.21769926089274,-147.87957020243056
-175.87472562733961,-191.00970366417533,-239.41363536404023,-118.3903797340665
-224.84869528029193,-100.60377013476054,-287.10933598766326,-169.56103923907173
-239.2373550975591,-187.12406922335836,-175.54611889833552,-213.3882135047519
-202.65616634258794,-207.5809151410272,-270.8242038736576,-87.01864753944713
-216.67962002184282,-151.33409358483073,-446.71443157923136,-104.55855983177332
-182.83620137730645,-143.0482729426671,-330.07639017900385,-149.92506927532853
-756.0884942637804,-144.84769976312143,-238.22376309448651,-199.3954651292416
-167.19046193279496,-121.4643343369232,-79.21013624098785,-221.06219658232322
-169.71200748724658,-101.55099956815894,-113.59269270594156,-151.60919524667244
-134.5193345954553,-155.9955909580569,-146.5550516739403,-130.66794353579215
-184.70088362842603,-166.91944549209776,-328.9359713015855,-207.03460798986472
-144.93207417113703,-261.3098407215465,-141.596893377148,-109.04809757029363
-230.22475309802942,-244.48227735597487,-364.6139756792347,-187.26430748509085
-168.75487911060793,-209.02380458995222,-166.8163424350891,-101.12988643931607
-186.53793479335576,-159.56685370439118,-144.53738437555165,-220.390621052264
-171.95865826163248,-90.31030075928587,-229.31273995638725,-132.72333209065573
-200.12142515961003,-195.6582685739138,-296.8849830558507,-160.71510991641506
-305.25784431546504,-138.67993539172693,-135.96398170844085,-138.33233374418393
-137.11239305467916,-166.74806540185202,-113.29155575100665,-112.96579300418537
-240.91934485224755,-277.55252018896533,-102.91044466432132,-92.42751136498333
-138.29322176015626,-110.1850972017239,-400.4821716254988,-157.50781542251804
-139.91400873058043,-135.53407550868957,-216.49111828045554,-113.45581036644423
-142.9194415301657,-129.89443844543987,-140.49146117522133,-182.45460574271377
-169.03196933691797,-168.61850768590375,-110.05663289366117,-229.4361611596268
-116.06473236807913,-221.57592919999365,-177.3367769732416,-111.31523774697868
-184.16490591583093,-168.14761140422033,-434.2155325494553,-88.09619615485659
-203.05563985106576,-181.33569268756935,-284.2857271733207,-121.15661250287926
